OTHERS	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	
Bahamas	0.0008206812	0.0008399832	0.0008445946	0.0008274721	0.0008213552	0.0007858546	0.0008054772	0.0007889546	0.0007763975	0.0007665772	0.0023328149	0.0019976029	0.0012285012	0.0016799664	0.0012864494	0.0012771392	0.0009057971	0.0013818517	0.0008865248	0.001532567	0.0004022526	0.0014630578	0.0018691589	0.0011359334	0.0007440476	0.0007336757	0.0022058824	0.0028715004	0.003599712	0.0029476787	0.0026850786	0.0027977618	0.0033044197	0.0033085194	0.0028583095	0.0028806584	0.0119829919	0.0089773614	0.0101427498	0.0125230203	0.0114264652	0.0107886905	0.0079006772	0.0060813379	0.0093203883	0.0098000784	0.0086819258	0.0091487669	0.0119094879	 
Bangladesh	0.0004649	0.0004703669	0.0004606172	0.0004640371	0.0004721435	0.0004743833	0.0005081301	0.0004828585	0.0004703669	0.0004551661	0.000492126	0.0005333333	0.0005063291	0.0004873294	0.0005141388	0.0004791567	0.0005271481	0.0004930966	0.0004800768	0.0004945598	0.0005015045	0.0004928536	0.0004880429	0.0004940711	0.0004842615	0.000484731	0.0009372071	0.0014245014	0.0004807692	0.0018975332	0.0009469697	0.002374169	0.0019940179	0.0060030015	0.006372549	0.004398827	0.0023866348	0.0050949514	0.0026513478	0.0026595745	0.0021477663	0.0017316017	0.002556455	0.0042052145	0.0063344595	0.0071669477	0.0074565037	0.004189359	0.0070103093	 
Barbados	0.0163216561	0.0147687524	0.0204081633	0.0176380368	0.017753763	0.0191791331	0.0135472371	0.0133086876	0.0148148148	0.0145648313	0.0125952933	0.0099827883	0.0091123861	0.0084269663	0.0107681263	0.0137372314	0.0108695652	0.0145663957	0.024859944	0.0204823257	0.0145888594	0.0202818838	0.011888587	0.019343696	0.0166493236	0.0145502646	0.0175724048	0.0215194001	0.0231139647	0.0249513934	0.0244884267	0.0297096556	0.0274020118	0.0305661688	0.0310405644	0.0253384242	0.0247289973	0.0199359203	0.0201847417	0.0199359203	0.0254327093	0.0279369628	0.0253164557	0.0241635688	0.0262212644	0.0276481149	0.0285412262	0.0289355839	0.0270812437	 
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006216972	0.0009621552	0.0020053476	0.0013131976	0.0016784156	0.0014184397	0.0017259234	0.0020113979	0.0032488629	0.0034612964	0.0034418023	0.0028846154	 
Belgium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053092647	0.0052826202	0.0042406573	0.006406834	0.0053390283	0.0053604932	0.0055791711	0.0058324496	0.0061072756	0.0055895661	 
Belgium-Luxembourg	0.0013712719	0.0020646937	0.0019973369	0.0032679739	0.0023648649	0.0019588639	0.0022697795	0.0016507098	0.0012674271	0.0016329197	0.0015673981	0.0025814779	0.0015470297	0.0015571473	0.0012666244	0.0019017433	0.0019035533	0.0019083969	0.0019132653	0.0021406728	0.0021426385	0.0020710059	0.0017793594	0.001740644	0.0023508669	0.0020348837	0.001759015	0.0030994646	0.0037463977	0.0045545118	0.0036516854	0.0038345659	0.0044456794	0.0050420168	0.0042205965	0.004178273	0.0073649755	0.0054749521	0.004089422	0	0	0	0	0	0	0	0	0	0	 
Belize	0.0119904077	0.0162162162	0.0141405214	0.0141718335	0.0141155712	0.0146862483	0.0149450549	0.013363029	0.0143497758	0.0158800176	0.0165577342	0.0169270833	0.0182291667	0.0176041219	0.0171835708	0.0185654008	0.0190871369	0.0196392786	0.0210735586	0.0213008749	0.0204778157	0.0207214121	0.0213882163	0.0209762001	0.0212158303	0.0217748562	0.0203025478	0.0214054927	0.0103777501	0.0256619145	0.0259481038	0.0246821242	0.0259789157	0.0236912495	0.0262762763	0.0244648318	0.0242976462	0.0178707224	0.0148628049	0.0172737514	0.0171220401	0.0184448463	0.0212689257	0.0152838428	0.0168882501	0.015585357	0.0148874365	0.011580127	0.0117216117	 
Benin	0.0115074799	0.0414537195	0.0399061033	0.037747154	0.0568432671	0.0481727575	0.0714285714	0.0630165289	0.0705128205	0.0678807947	0.0614081525	0.061769616	0.0906183369	0.052	0.0445141066	0.071654373	0.0804785209	0.0729111229	0.0702020202	0.0656700481	0.054525627	0.035483871	0.0315186246	0.0547112462	0.0621497708	0.0534274194	0.0405924301	0.0618181818	0.0506628788	0.0482887951	0.0536607549	0.0527544351	0.0510677809	0.0495412844	0.0608537693	0.054610564	0.0547884187	0.0521582734	0.0497089118	0.0629745422	0.0611448395	0.0689799331	0.0566922421	0.0535279805	0.0631665299	0.0447882736	0.0413577838	0.0435471101	0.0459636925	 
Bermuda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0043712172	0.0027238679	0.0039653929	0.0027826087	0.002829855	0.002919708	0.0036563071	0.0038402458	0.0038197097	0.0038819876	0.006674519	0.0052461663	0.0036855037	0.0040016006	0.0039093041	0.0042503864	0.004147813	0.0051584377	 
Bolivia	0.0080878105	0.0079545455	0.0082964602	0.0086107922	0.0087431694	0.0098092643	0.0095338983	0.0113871636	0.0109947644	0.0089730808	0.005842259	0.009466866	0.0099061522	0.0097134531	0.0094029149	0.0084586466	0.0096339114	0.0051960321	0.0079291045	0.009103977	0.007256894	0.0084830339	0.0094093048	0.0080280983	0.0105313547	0.0096495683	0.0130522088	0.0122511485	0.0118518519	0.0087628866	0.0084158416	0.0069204152	0.0064773293	0.0066428206	0.0057007126	0.0073349633	0.0077896787	0.0071684588	0.0063913471	0.00723589	0.0057720058	0.0057170081	0.0057061341	0.0058823529	0.0047778309	0.0046641791	0.0046511628	0.0042154567	0.0042095416	 
