OTHERS	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	
Cote d'Ivoire	0.0180412371	0.0247524752	0.0172	0.0183235867	0.0199462984	0.0201628538	0.019462826	0.0208570345	0.0246772969	0.0251501502	0.0231213873	0.0234558249	0.0236499803	0.022556391	0.0214894405	0.0214497041	0.0217551622	0.0231800072	0.0192771084	0.0188485264	0.0168180289	0.0160848734	0.0173635719	0.0167890871	0.0161348153	0.0166184971	0.0191513331	0.0179775281	0.018766756	0.0190809969	0.0170344561	0.017794971	0.0182975338	0.0165354331	0.0167315175	0.0149712092	0.0191082803	0.0186028853	0.0181611805	0.0198473282	0.017918414	0.0149981252	0.017452655	0.0160759956	0.0154121864	0.0132854578	0.0132284591	0.013483965	0.0154015402	 
Croatia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0034587116	0.0017857143	0.0042247571	0.0055031447	0.0047003525	0.0035601266	0.0043702821	0.0074714904	0.0066536204	0.0065717415	0.0099326002	0.0066317627	0.0112168593	0.0094022834	0.0077720207	0.0103425986	0.0102073365	0.0159033079	 
Cuba	0.0089580387	0.0100502513	0.0071248952	0.0077319588	0.0076923077	0.0076199014	0.0065189048	0.0062163282	0.0056772101	0.0054432348	0.0051001821	0.0052830189	0.0057493292	0.0049610206	0.0052414826	0.0043462514	0.0047794118	0.0046411996	0.0051660517	0.0051975052	0.0047879617	0.0049983339	0.0052168243	0.0048092337	0.0048076923	0.0052134246	0.0052100293	0.0053637278	0.0053280053	0.0051493306	0.0058629535	0.0035928144	0.0047434239	0.0046590428	0.0060292851	0.0061349693	0.0070230199	0.0090566038	0.0079474775	0.0122031662	0.0117111256	0.0149111675	0.0147965475	0.0152557583	0.0196801968	0.0208588957	0.0163026761	0.0301378647	0.0244582043	 
Cyprus	0.0314643001	0.0185796862	0.0256950295	0.0196229319	0.0237037037	0.0173473076	0.0157750343	0.0197060788	0.0261994949	0.0170324271	0.0182588849	0.0244767648	0.0132960112	0.0268928424	0.0214917826	0.0281995662	0.028436019	0.0245833333	0.0281411019	0.027743778	0.0283171521	0.028079371	0.0191873589	0.0270075621	0.0305370305	0.0274223035	0.022819286	0.0205792683	0.0265321375	0.0253636703	0.0179224579	0.0298991354	0.0262024408	0.0221270521	0.0202702703	0.0210176991	0.0236249539	0.0284237726	0.0278499814	0.0267924528	0.0312977099	0.0294567712	0.0290360046	0.0322831583	0.03234714	0.0403002766	0.0291299348	0.028604119	0.0250096191	 
Czech Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049374589	0.0033590863	0.0021820449	0.0054282268	0.0058732612	0.0137656776	0.0054487179	0.0068248294	0.0104133796	0.0092592593	0.0081374322	0.0111445783	0.0072376357	0.0070271922	0.0049124962	0.0076522804	0.0070271922	 
Czechoslovakia	0.0018181818	0.0029886432	0.0023557126	0.0011848341	0.0011816839	0.0011706175	0.0014684288	0.0011574074	0.0008839128	0.0008941878	0.000893123	0.0011936735	0.0011872959	0.0017788319	0.0011872959	0.000892326	0.0012080942	0.0014880952	0.0026921926	0.0023944927	0.0011802892	0.0014534884	0.0011743981	0.0020289855	0.0017467249	0.0020126509	0.0020034345	0.0036181464	0.0041585805	0.0038377193	0.0036374659	0.0009484666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 
Denmark	0.0025117739	0.002579813	0.0025823112	0.0025715204	0.00257566	0.0025649247	0.0022712524	0.0022646393	0.0019486846	0.0018999367	0.0018826483	0.0022595223	0.002306425	0.0029654036	0.0030110405	0.0020127474	0.0023279016	0.0026472535	0.0019678583	0.0022435897	0.00256	0.0029182879	0.003633961	0.0029900332	0.0037986705	0.0038363171	0.0037488285	0.0018472906	0.0018856065	0.0022137887	0.0024790827	0.0017980222	0.001497006	0.0015073862	0.0008833922	0.0015183723	0.0020808561	0.0023557126	0.0021008403	0.0024147299	0.0026986507	0.0032660333	0.0029922202	0.0029577048	0.0029342723	0.0032258065	0.0049490539	0.0045058576	0.0047775455	 
Djibouti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00128123	0	0	0.0006997901	0	0.0006684492	0.0032679739	0	0	0.0006253909	0.0019255456	0.000630517	0.000656168	0.0006199628	0	0.0006662225	0.0006365372	0.0006281407	0.0005858231	0.0005924171	0.0005704507	0.0005402485	0.0005279831	0.0005030181	0.0010126582	0.001957905	0.0115107914	0.0169411765	0.0186418109	0.0186470078	0.017551191	0.016872428	0.0134584013	 
Dominica	0.0412550843	0.0391280045	0.0372194855	0.0366320394	0.0352564103	0.0396196513	0.0335820896	0.0313447927	0.0317700454	0.0326305221	0.0336734694	0.0342914776	0.0468914647	0.0423991727	0.044858871	0.0427098675	0.0445590994	0.0436363636	0.0434358224	0.0422852002	0.0400890869	0.0347405453	0.0348993289	0.0303282094	0.0315917375	0.0300222387	0.0282685512	0.0261348006	0.0262184874	0.0254582485	0.0260507121	0.0263157895	0.0261576529	0.0260288428	0.0262888358	0.0302083333	0.0274442539	0.0265334252	0.0267306374	0.0262812089	0.0251239669	0.0248906828	0.0274431058	0.0275908479	0.0251810969	0.0276338515	0.0264988407	0.0264988407	0.0233301374	 
Dominican Republic	0.0134189032	0.017866811	0.0113268608	0.0102315563	0.01171875	0.0172774869	0.0106951872	0.0155682408	0.0171890799	0.0153139357	0.0135883241	0.0164097464	0.0125664572	0.0137440758	0.011577424	0.014354067	0.0166512488	0.0149812734	0.0124884366	0.012438916	0.0108352144	0.0081855389	0.007213706	0.0079225352	0.0012658228	0.0016877637	0.0021767523	0.0040449438	0.0026466696	0.0024236549	0.0060776064	0.006080449	0.0130748422	0.0137900356	0.0127528584	0.0161141805	0.0111627907	0.0163934426	0.0149114632	0.0221019396	0.0173256331	0.0197802198	0.0173790512	0.0167800454	0.0142487047	0.0042480884	0.0037672666	0.004704876	0.0046257359	 
Ecuador	0.0130391174	0.0089197225	0.0097276265	0.0146555936	0.0118721461	0.012855831	0.00839944	0.0080113101	0.0070093458	0.0069028992	0.0104364326	0.0105747126	0.0104861773	0.0146710838	0.0108646446	0.0088300221	0.0066225166	0.0066312997	0.011106175	0.0084602369	0.0079646018	0.003931848	0.0036479708	0.0040071238	0.0044802867	0.0060632308	0.0069384215	0.0034158839	0.0065760631	0.0053499777	0.0036849378	0.0078534031	0.003058104	0.0033388982	0.0026075619	0.0034782609	0.0055674518	0.001776988	0.0056228374	0.002221235	0.0031014621	0.0030421556	0.0039840637	0.0065274151	0.005560308	0.0056252704	0.0055865922	0.0058947368	0.005907173	 
Egypt	0.009214355	0.0149045179	0.0143452106	0.0123400366	0.0117540687	0.0088613203	0.0086246028	0.0071301248	0.0084821429	0.0102267675	0.0075858992	0.0092105263	0.0077653149	0.0084388186	0.0066445183	0.0080192462	0.0074862096	0.0053211707	0.0061683599	0.004583921	0.0046964106	0.0049309665	0.0042890135	0.0049439684	0.0039344262	0.004932588	0.005452213	0.0054679961	0.0061568373	0.0063331222	0.0072969543	0.0085524232	0.0094428706	0.0111111111	0.0133616763	0.0145015106	0.0159063625	0.0142165759	0.0165712564	0.0183513839	0.0169290169	0.0173989973	0.0164719976	0.0165188131	0.0132211538	0.0155177559	0.018773834	0.0165026057	0.0152626945	 
El Salvador	0.0050858233	0.0049720323	0.0048484848	0.0049291436	0.0047142015	0.0052847915	0.0058038305	0.00513992	0.0051605505	0.0051664753	0.0055710306	0.0061590146	0.0065111232	0.0063593005	0.0068999507	0.0097134531	0.0128326996	0.0131086142	0.0131519274	0.0169491525	0.0171353251	0.0165326184	0.016621743	0.0159645233	0.0160929817	0.0156178227	0.0152284264	0.0157232704	0.0164007092	0.016897747	0.0166112957	0.0161825726	0.0151133501	0.0155527533	0.0163043478	0.0162364696	0.0160824742	0.0193256579	0.0215946844	0.0205047319	0.020952381	0.0216154721	0.0189189189	0.0179757718	0.0195388824	0.0198520825	0.0211267606	0.0194931774	0.01796875	 
Estonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003941663	0.0007733952	0.0018076645	0.0013591573	0.0016260163	0.0013231889	0.0010111223	0.0016041065	0.0009803922	0.0009836066	0.0009852217	0.0012995452	0.0019569472	0.0019005385	0.0018921476	0.0025165146	0.002484472	0.0021459227	 
Ethiopia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001986755	0.0019392372	0.0019071837	0.0030193237	0.0017825312	0.0011883541	0.0011587486	0.001121705	0.0016393443	0.0016260163	0.0026539278	0.0021265284	0.0030364372	0.0035587189	0.0045965271	0.0044620724	0.0043859649	 
Ethiopia PDR	0.020663404	0.021369863	0.0214994487	0.0199667221	0.01856018	0.0208574739	0.025418833	0.0271411339	0.0282852092	0.0295333727	0.0342754059	0.0248883216	0.0237310481	0.0231941683	0.021347565	0.0287433155	0.0279765777	0.026957638	0.023877203	0.020640956	0.020501139	0.0186020293	0.0190796857	0.0197075652	0.0211267606	0.0201958384	0.018342821	0.0182149362	0.0204081633	0.0206451613	0.0196326789	0.0199356913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 
Fiji	0.0929152149	0.0883579826	0.0864606328	0.0879820292	0.0796713112	0.0812260536	0.0842851516	0.090765588	0.0914419695	0.0951965066	0.0847589425	0.0845295056	0.0864197531	0.0908697534	0.0884120172	0.0927880387	0.0902602855	0.0869201839	0.0796603316	0.0806709265	0.0907029478	0.0808734331	0.0795819936	0.0766208251	0.0762418175	0.0804780876	0.0780370072	0.0765625	0.0777302759	0.0768370011	0.0743193525	0.0726807889	0.0676955454	0.0687186829	0.0690032859	0.0713525027	0.0682858149	0.0676585193	0.0683820938	0.0689897923	0.0692041522	0.0724339169	0.0660701996	0.0740613159	0.0710642639	0.0749915168	0.0711841205	0.0710401088	0.0743801653	 
Finland	0.0012258658	0.0025388765	0.0016286645	0.0012949174	0.0016005122	0.001910828	0.0016313214	0.0022838499	0.0022040302	0.0028809219	0.0009569378	0.0015852885	0.0012523482	0.00158831	0.00125	0.0012734798	0.0013153568	0.0016474465	0.0016661113	0.0016186468	0.0016518005	0.0019305019	0.0020073603	0.0023310023	0.0026972353	0.0037099494	0.0037402244	0.0038734668	0.0043410853	0.0031796502	0.0048216008	0.0034504391	0.0032938076	0.0043507363	0.0039590894	0.0043103448	0.0038119441	0.0041035354	0.0044261777	0.0044585987	0.0044219836	0.0050890585	0.0057288351	0.0059823678	0.0062774639	0.0068493151	0.0058317986	0.0065379826	0.0071673419	 
France	0.0031289111	0.0030703101	0.0037117229	0.0034161491	0.0034013605	0.0040360137	0.0036652413	0.0030506406	0.003652968	0.0036319613	0.0030404378	0.0043037196	0.0033649434	0.0027506112	0.0027734977	0.0021361001	0.0032983508	0.0026603606	0.0041420118	0.0038541358	0.0038011696	0.0032182563	0.0040544454	0.0034833091	0.0037302726	0.0040462428	0.0033984707	0.0053400787	0.0073095305	0.0068512703	0.0062129342	0.006484353	0.0067834935	0.0056980057	0.0062270025	0.0051165435	0.0062024246	0.0055710306	0.0061094141	0.0061077179	0.0057692308	0.0057502738	0.0055788006	0.0056338028	0.0056593096	0.0054192812	0.0057770075	0.0062041737	0.0056673279	 
French Polynesia	0.0395042603	0.0428122545	0.0433917197	0.0373540856	0.0338218715	0.0301075269	0.028194147	0.0283968368	0.0327927928	0.031358885	0.0326916092	0.0343224884	0.0347421203	0.033428165	0.0319943121	0.0318133616	0.0331412104	0.0342095787	0.0337643678	0.0350484713	0.0348314607	0.0348406227	0.0396296296	0.0407190022	0.0412067697	0.0388278388	0.0375093773	0.0398213621	0.0397917441	0.0468349799	0.0420230569	0.0476190476	0.0485088034	0.0486061472	0.0466192171	0.0472804835	0.0468131077	0.0475499093	0.0510948905	0.0485683219	0.0498753117	0.0486505682	0.0482269504	0.045997191	0.0480196285	0.0485744456	0.0505715275	0.0479020979	0.0429319372	 
Gabon	0.0179041601	0.0219435737	0.0235546039	0.0225806452	0.0241028388	0.0237216658	0.0253099174	0.0227848101	0.025987526	0.0239085239	0.024911032	0.0274043433	0.0098547718	0.0200668896	0.0293443375	0.0311793945	0.0333479596	0.0359435173	0.0384785493	0.0407079646	0.03187251	0.0316509837	0.032096707	0.0328467153	0.0372188139	0.0366151343	0.0493366501	0.058633239	0.0582484725	0.0641573995	0.0614173228	0.0556676079	0.0564612326	0.0575510204	0.0560821485	0.0526315789	0.0525105404	0.0582230624	0.0563380282	0.0566456868	0.0489171023	0.0589577786	0.0494339623	0.0477443609	0.0469327421	0.0455386894	0.0474777448	0.0482472672	0.0418673583	 
Gambia	0.0677310111	0.0678210678	0.0675484176	0.0682031985	0.065416485	0.069725596	0.0679228747	0.0671286271	0.066925734	0.0692892266	0.0660211268	0.0732177264	0.0727096461	0.0762928827	0.0813503044	0.080802603	0.074438971	0.0559366755	0.0406976744	0.0255493102	0.0354156419	0.0448408872	0.0521172638	0.04912764	0.0434415858	0.0422535211	0.0448897796	0.0435667752	0.0423412204	0.0456349206	0.0439733019	0.0452724359	0.045804621	0.0491803279	0.0476592155	0.0493517357	0.0505050505	0.0543293718	0.0524419536	0.0458608628	0.0456711676	0.047909054	0.0453802126	0.0398860399	0.0418019481	0.0406879195	0.036206218	0.0383247728	0.0361535594	 
Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004042037	0.0007575758	0.000352485	0.0003408316	0.0009933775	0.0009874918	0.0020964361	0.002071108	0.002020202	0.0021390374	 
Germany	0.0045518207	0.0099519561	0.0068989307	0.0060382422	0.0079707738	0.0069767442	0.0083305565	0.0094771242	0.0082182774	0.007421749	0.0061112898	0.0054105665	0.0060069554	0.0057915058	0.0051380861	0.0050235479	0.0047801147	0.0052291603	0.0051924252	0.0048929664	0.0052083333	0.0054037826	0.0047449585	0.0056063736	0.0061439438	0.0067627168	0.0073964497	0.0055816686	0.0064648839	0.0079681275	0.0081251881	0.0079552151	0.0084295973	0.0080946451	0.0076946753	0.0084899939	0.0091309824	0.0091268634	0.0100640439	0.0101979604	0.0089179548	0.0081632653	0.007079646	0.0064497215	0.0069605568	0.0083790812	0.0093643587	0.0085445742	0.0088268793	 
Ghana	0.0536246276	0.048553719	0.049402823	0.051955008	0.0465738758	0.0433905146	0.047277937	0.0522167488	0.0382728165	0.0612149533	0.0608044902	0.0606207565	0.0671108996	0.0682561945	0.0639246779	0.0585134423	0.0464705882	0.0437125749	0.0512029611	0.0632111252	0.1045627376	0.0855795148	0.075	0.0686719637	0.0528386734	0.0595303113	0.0542635659	0.0619097587	0.0541666667	0.0423433875	0.0268327743	0.0298295455	0.0333919156	0.039028621	0.0345415778	0.0358498524	0.0334588038	0.0396694215	0.0361641609	0.0367265469	0.0399209486	0.0386996904	0.0365525202	0.0352490421	0.0387625792	0.040451895	0.0380021716	0.0454386578	0.0446793997	 
Greece	0.008147361	0.0064771501	0.0093089868	0.0073068894	0.0075368277	0.0091743119	0.0080053369	0.0069147185	0.0075782537	0.0076433121	0.0097853535	0.0102269096	0.0087924971	0.0086618877	0.0105105105	0.0084388186	0.0068986203	0.0078054638	0.006002401	0.0100407907	0.0083333333	0.008534432	0.0078763127	0.0076120665	0.0094097519	0.0087008701	0.0104046243	0.0101694915	0.0107556536	0.0107526882	0.0138770886	0.0128026719	0.0116015846	0.0123318386	0.0122857143	0.0137378363	0.0131616595	0.0130979499	0.0127529803	0.0153674211	0.0153417015	0.0154482759	0.0126756682	0.0129589633	0.013978194	0.0112554113	0.0154905336	0.0224340998	0.0227272727	 
Grenada	0.0537572254	0.0524282561	0.0561252024	0.0487046632	0.0478830645	0.0457643622	0.0440251572	0.0442646359	0.039981404	0.040625	0.0382862352	0.0432581684	0.0461108524	0.0657254138	0.0655256724	0.065300286	0.0626973387	0.0568532393	0.0525164114	0.0515097691	0.0635135135	0.0530892449	0.0571156592	0.0566936636	0.0500715308	0.0431722196	0.0640751815	0.048238255	0.0468172485	0.0394842869	0.041376485	0.0468364832	0.0488003253	0.0508405084	0.0491596639	0.038559322	0.0362869198	0.033810143	0.0470219436	0.0430643699	0.0539710399	0.0761200522	0.0791864994	0.0833333333	0.034878775	0.0303030303	0.0422064354	0.0307181403	0.0264791063	 
Guatemala	0.0011019284	0.0016251354	0.0010576415	0.0015360983	0.0015298317	0.001525941	0.0015189873	0.0010080645	0.0024789291	0.0029571217	0.0025025025	0.001996008	0.0024248303	0.0034296913	0.0028275212	0.0038703435	0.0018993352	0.0023562677	0.0014104372	0.0018535681	0.0075503356	0.0017722641	0.0056657224	0.0129032258	0.0077343039	0.005959983	0.0051457976	0.0046848382	0.0040540541	0.0042462845	0.0043084877	0.0052654673	0.0042498938	0.0038135593	0.0052700922	0.0062305296	0.0070488722	0.0074314909	0.0107226107	0.0129569644	0.0130748422	0.0114698386	0.0149190111	0.02104811	0.0209643606	0.0173913043	0.013507982	0.0156118143	0.0146400976	 
Guinea	0.0193976519	0.0200823893	0.0221307257	0.0209143969	0.0212765957	0.0218579235	0.023371457	0.0225	0.0223350254	0.0222662048	0.0214948705	0.0212240869	0.019990702	0.0201972757	0.020285846	0.02	0.0204444444	0.0198361363	0.0187891441	0.0195329087	0.0184501845	0.0178723404	0.0170867151	0.0173053152	0.0166112957	0.014268243	0.0127153404	0.0095465394	0.0112179487	0.0135746606	0.0177612557	0.0224581462	0.0197530864	0.0186721992	0.0177065767	0.0187154402	0.0200873362	0.0216622458	0.0228448276	0.0227752003	0.0230572161	0.0237691002	0.0251046025	0.0260438198	0.0267159885	0.0288692863	0.0280898876	0.0275807723	0.0260663507	 
Guinea Bissau	0.021685254	0.0222929936	0.0213032581	0.0222085133	0.0216346154	0.0233532934	0.0243902439	0.0259571707	0.0246457178	0.0260756193	0.0232985898	0.0235368957	0.0210593491	0.0211838006	0.0196545563	0.0188571429	0.0180032733	0.0169057377	0.0170454545	0.0163285502	0.0149323378	0.0149184149	0.0107426436	0.0103141116	0.0093816631	0.0138023152	0.0084145261	0.006326254	0.0100364964	0.0111111111	0.0090478242	0.0101180438	0.0117136659	0.0115483319	0.0110403397	0.0115555556	0.0118993135	0.0116225012	0.0111265647	0.0106809079	0.0102040816	0.0101860053	0.0097908322	0.0124666073	0.0119047619	0.0117434508	0.0116435289	0.0107526882	0.0148666375	 
Guyana	0.03125	0.0264412657	0.0235033259	0.0202761001	0.0174029451	0.0189510798	0.0218165628	0.0192738682	0.0213523132	0.0210479176	0.0224618149	0.0241286863	0.0255645505	0.0243902439	0.0261954262	0.023538961	0.0262944984	0.0170385396	0.0218212337	0.0127519539	0.0295409182	0.0410736072	0.0514444005	0.0533333333	0.0438311688	0.0426216325	0.0302186879	0.0303652031	0.032807309	0.0340136054	0.0360169492	0.038701623	0.0480456026	0.0542359462	0.054001554	0.0596436871	0.0625233995	0.061025833	0.0605607477	0.0637829912	0.0570079884	0.0498533724	0.0492045875	0.0492721165	0.0564064251	0.052413273	0.0592676482	0.061627907	0.0505206325	 
Haiti	0.0116710875	0.0114882507	0.0109947644	0.0119241192	0.0109660574	0.0106439596	0.0112299465	0.0114192496	0.0119241192	0.012472885	0.0130222463	0.0139037433	0.016341592	0.0200316289	0.0247890295	0.0284826515	0.0300474433	0.0379417879	0.045054376	0.0455020921	0.0439897698	0.0472727273	0.0484037075	0.0515957447	0.05	0.0513368984	0.0490797546	0.0473167917	0.0455082742	0.0407110092	0.0359589041	0.0290528762	0.0286047869	0.03	0.0290102389	0.0276854928	0.0283070223	0.0234741784	0.0250896057	0.0204290092	0.0200316289	0.018469657	0.0199031737	0.0202883075	0.0217969165	0.0206825233	0.0236299648	0.0223435948	0.0175097276	 
Honduras	0.0005313496	0	0	0.0005376344	0.0010438413	0.0020253165	0.0009876543	0.0004899559	0.0004791567	0.0004819277	0.0004923683	0.000998004	0.000490918	0.0009960159	0.0009638554	0.0009528347	0.0009573959	0.001459144	0.0014698677	0.000968523	0.0004719207	0.0009847366	0.0009532888	0.0009541985	0.0009363296	0.0009285051	0.0027485112	0.0040160643	0.0052493438	0.0056252704	0.0039491005	0.0056034483	0.0038693035	0.0046728972	0.0050314465	0.002078138	0.0050041701	0.0058091286	0.0054393305	0.0050739958	0.0053169734	0.0036437247	0.0044408559	0.0044498382	0.0048348106	0.0035657686	0.004296875	0.0038565368	0.003869969	 
Hungary	0.0034843206	0.0068807339	0.0029249269	0.004259502	0.0019392372	0.001826484	0.0025583626	0.0015817779	0.0015465512	0.0015384615	0.0024472316	0.0028089888	0.0024562481	0.0029638411	0.0020703934	0.001215436	0.0015248551	0.0006027728	0.0009171507	0.0011841326	0.0005889282	0.0011726766	0.0005842828	0.0002947244	0.0005844535	0.0005812264	0.0011111111	0.0011331445	0.0005717553	0.000295858	0.0021854511	0.0024375381	0.0029004189	0.0036363636	0.0040733198	0.0034164674	0.003992016	0.0043218085	0.0043347783	0.0044219836	0.0042112083	0.0045647212	0.0045796533	0.0028177833	0.0039743198	0.0045787546	0.0050203954	0.0056461731	0.0038143675	 
Iceland	0.0012303906	0.0015060241	0.0016123831	0.0022314313	0.0022208122	0.0022727273	0.0023529412	0.0024013722	0.002078282	0.0019920319	0.0023761032	0.0022860875	0.0023841962	0.0027201632	0.0023584906	0.0026428807	0.0029644269	0.0032320621	0.0034504391	0.0028571429	0.0033618582	0.0034799114	0.0034832172	0.0034689372	0.0047938639	0.004898959	0.0044136192	0.0054856405	0.0060664112	0.0059210526	0.0058064516	0.0061528497	0.0055356561	0.00643915	0.0064620355	0.0066312997	0.0071128354	0.0067829457	0.0066942939	0.0076701822	0.0080025608	0.0068987143	0.0074719801	0.0079632466	0.0085054678	0.0091906315	0.009048453	0.0085294118	0.008328376	 
India	0.0154922539	0.0161369193	0.015768057	0.0155857215	0.0150884495	0.0150181253	0.0146022155	0.0144566301	0.0147783251	0.0147338403	0.0151209677	0.014661274	0.014720314	0.0145152929	0.0136385777	0.0130412102	0.0119047619	0.0121552127	0.0118988597	0.0125691302	0.0126829268	0.015308642	0.0131758292	0.0135869565	0.0120874012	0.0116009281	0.0129270545	0.0149911817	0.0139889784	0.0159598723	0.0161783997	0.0180878553	0.017699115	0.0183968463	0.0168539326	0.0167023555	0.0135765804	0.0136752137	0.013047138	0.0122362869	0.0137575236	0.0131810193	0.0149713782	0.0142475512	0.0132860939	0.0159345392	0.0163659253	0.0149315637	0.0153846154	 
Indonesia	0.0570488206	0.0563765736	0.0517621145	0.0672404519	0.0627366144	0.0588555858	0.0581205866	0.0521225148	0.0490765172	0.0461139896	0.049414162	0.0410821643	0.0476419634	0.0510983763	0.0470927439	0.0394160584	0.0522813688	0.0523364486	0.0546199363	0.042039356	0.0583657588	0.0436096718	0.047098402	0.0469659185	0.0462809917	0.0526960784	0.0513849859	0.0498454405	0.0572196621	0.0474967908	0.0517607128	0.053807947	0.0538651316	0.0525889968	0.054880439	0.0533961523	0.0516206483	0.0502815768	0.0551276854	0.0570607553	0.0577796121	0.0554649266	0.0550607287	0.0542510121	0.0546337515	0.0527587596	0.0531957126	0.0451688924	0.0453323089	 
Iran	0.0017133067	0.0017162471	0.0016722408	0.001610306	0.0015982952	0.0014814815	0.0014669927	0.0018399264	0.0009775171	0.0014272122	0.0009813543	0.0013793103	0.0012886598	0.0016638935	0.0024681201	0.0024459845	0.0016122531	0.0015904573	0.0011632416	0.0011303693	0.001104159	0.0007404665	0.0007225434	0.0007315289	0.0007385524	0.0007366483	0.0007178751	0.0007377352	0.0007007708	0.0006942034	0.0003402518	0.0003307972	0.0003232062	0.0006525285	0.000661157	0.0006555228	0.0009708738	0.000982962	0.0009762447	0.0013218771	0.0016474465	0.0019973369	0.0023279016	0.0029373368	0.003598299	0.0036508463	0.0039499671	0.0036196117	0.0023132849	 
Iraq	0.004610951	0.0042918455	0.0055668016	0.0054240631	0.0053580127	0.0063198833	0.0057498802	0.0052531041	0.0051984877	0.0055996267	0.0055427252	0.0038277512	0.0028449502	0.0032527881	0.0031847134	0.0031446541	0.0026109661	0.0028432169	0.0027058369	0.0022446689	0.0021186441	0.0020263425	0.0019685039	0.0018720749	0.0021071644	0.0020455874	0.0017396347	0.0023255814	0.002907822	0.0046239211	0.0029787234	0.0057932264	0.0062111801	0.0053981107	0.0045454545	0.0041436464	0.0037896731	0.0032956685	0.0027816412	0.0018357045	0.0017738359	0.0013215859	0.0013297872	0.0012663571	0.0017043034	0.0012615643	0.0012547051	0.0012484395	0.0012350762	 
Ireland	0.0011890606	0.0014845606	0.0014744913	0.0017673049	0.0020594292	0.0017704338	0.0020479813	0.0017574692	0.0011685656	0.0011644833	0.0017246335	0.0011631288	0.0017226529	0.001703094	0.001442169	0.001459854	0.0017098889	0.0016722408	0.0019729425	0.0022390148	0.0025423729	0.0024951483	0.0022560632	0.0016944366	0.0019574944	0.0030428769	0.002787068	0.0044617959	0.0044593088	0.0044137931	0.0044717719	0.0041402153	0.0048117747	0.0047499301	0.0034149118	0.0033240997	0.0037960954	0.0040738729	0.0059331176	0.0058965425	0.0067096082	0.0052924791	0.0052851182	0.0042005041	0.006138556	0.0067930937	0.0082362965	0.0081141578	0.0092696629	 
Israel	0.022467903	0.0191285866	0.0268993093	0.0236248237	0.0238349342	0.0264241592	0.0223035952	0.0239637306	0.0226475279	0.0214125919	0.0219445291	0.0215716487	0.0250679553	0.027648338	0.0285087719	0.0291472868	0.0261112838	0.0219955371	0.02368758	0.0261290323	0.0324324324	0.0294653706	0.0274557657	0.0257352941	0.0364348088	0.0318547187	0.0281731049	0.0312407022	0.0355861244	0.0326470588	0.0353181553	0.0402898551	0.0317927583	0.0292450015	0.0274407857	0.0282695603	0.0253778158	0.028	0.0255673657	0.0230855856	0.0263742365	0.0281157069	0.0218181818	0.029281768	0.028893781	0.0317241379	0.0332386364	0.0340328985	0.0366998578	 
Italy	0.0023712737	0.0019887305	0.0025923526	0.0019518543	0.0022392834	0.002221517	0.0027881041	0.00243309	0.002101471	0.0020260492	0.0023269343	0.0022968705	0.002529511	0.0025906736	0.0026587888	0.0026580035	0.0027067669	0.0025692264	0.0022160665	0.0024986119	0.0025626424	0.0026525199	0.002975305	0.0023481068	0.0032239156	0.0034344591	0.0039863326	0.0036806342	0.0042301184	0.0030674847	0.0038472108	0.0028248588	0.0034582133	0.0028727377	0.004	0.0030924937	0.0039193729	0.0038136747	0.0037950664	0.0038199181	0.0038157536	0.0035548264	0.0033140017	0.0035891773	0.003918276	0.0038845727	0.0033547666	0.0036445192	0.0033528919	 
Jamaica	0.0308577406	0.0287698413	0.0290927022	0.0281625115	0.0271764164	0.0273099681	0.0258064516	0.0265524625	0.0265070543	0.0253521127	0.0258014073	0.0249056604	0.0264612954	0.0252486611	0.0242608036	0.021609538	0.0299242424	0.0306499261	0.0363917925	0.0392009046	0.0317460317	0.0262425447	0.0257425743	0.028055342	0.0296208531	0.0347113885	0.0374474589	0.0390224675	0.0207852194	0.0197268589	0.0240963855	0.0267073636	0.0262865605	0.0261606485	0.026119403	0.0258207304	0.0256315007	0.0251386322	0.0253676471	0.0242024202	0.0261930391	0.0240488155	0.0238688992	0.0233560905	0.0233981281	0.0272694654	0.0273282992	0.026622903	0.0225618632	 
