GRAINS	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	
Cuba	0.3399339934	0.3686614893	0.3759430008	0.3500859107	0.3538461538	0.3074854325	0.3146458062	0.3203481144	0.3418491484	0.365474339	0.3974499089	0.3709433962	0.3629743197	0.3823529412	0.3646574317	0.3643607389	0.3448529412	0.3409496608	0.3505535055	0.3648648649	0.3608071135	0.3442185938	0.3492011738	0.3436999038	0.3512820513	0.3512544803	0.3399544122	0.3456252095	0.3456543457	0.3398558187	0.3404177354	0.3285429142	0.3307460112	0.3422278695	0.3548664944	0.3554192229	0.361295357	0.3596226415	0.3569454043	0.3611477573	0.3711776187	0.4298857868	0.3887176326	0.3840861502	0.3991389914	0.4	0.3992617656	0.3824943892	0.3517027864	 
Cyprus	0.3900766438	0.4120561519	0.4245998315	0.3836090804	0.3637037037	0.3722443079	0.3501371742	0.3400133601	0.3317550505	0.3367179823	0.31398761	0.2664065271	0.3040587824	0.3396772859	0.3388116308	0.3522776573	0.3532959931	0.31625	0.3004359889	0.2978376173	0.2989482201	0.2804193186	0.2878103837	0.2736766295	0.2699192699	0.2881170018	0.3062200957	0.3140243902	0.2937219731	0.2797463633	0.2743233358	0.2806195965	0.2770997846	0.2773019272	0.273826458	0.276179941	0.2702104097	0.2672572905	0.2736724842	0.2524528302	0.2522900763	0.2413925019	0.2427409988	0.230260599	0.2228796844	0.2212564204	0.2453047145	0.2559115179	0.2558676414	 
Czech Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2439104674	0.288209607	0.3023690773	0.2943305187	0.2874806801	0.2789843989	0.2580128205	0.2619434514	0.2698011991	0.2774691358	0.2712477396	0.2789156627	0.294933655	0.2844485182	0.2790911882	0.2687480869	0.2685609533	 
Czechoslovakia	0.3666666667	0.3789599522	0.3713191991	0.3711492891	0.3704579025	0.3576236465	0.350660793	0.3408564815	0.3294048321	0.3239940387	0.3218219708	0.3172187407	0.3098842386	0.3059590869	0.3066191748	0.3069601428	0.30051344	0.3011904762	0.2991325157	0.2969170907	0.2992033048	0.2985465116	0.2947739284	0.3014492754	0.3033478894	0.2964347326	0.3030910132	0.2975229613	0.301912947	0.2993421053	0.3143376781	0.2937085046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 
Denmark	0.2483516484	0.2444372783	0.2369270497	0.2279009965	0.2215067611	0.219301058	0.2183646982	0.2154642511	0.2150048717	0.2140595313	0.2077188579	0.2127178825	0.2088962109	0.2105436573	0.2054198729	0.2103321033	0.2111739275	0.2124420913	0.2079370285	0.2083333333	0.21472	0.2162775616	0.2206805418	0.234551495	0.2285533397	0.2314578005	0.2339893783	0.2306034483	0.2297297297	0.2267552182	0.2283854974	0.2277494756	0.2362275449	0.2402773591	0.2435217903	0.2408138476	0.251783591	0.2611896349	0.256002401	0.2387564141	0.2380809595	0.2378266033	0.2399760622	0.2380952381	0.2473591549	0.2548387097	0.2483260553	0.2580354461	0.2544042998	 
Djibouti	0.5483870968	0.5933130699	0.5639899624	0.6217252396	0.5872715816	0.5849875931	0.5442661913	0.5404454865	0.55028463	0.5304806565	0.5310144928	0.5142348754	0.5123873874	0.49437537	0.4822396147	0.4829510229	0.4900704676	0.465408805	0.4789977892	0.4499650105	0.4354166667	0.4191176471	0.4555555556	0.4730263158	0.4836433611	0.5109443402	0.540436457	0.5548549811	0.5544619423	0.5716057037	0.5581395349	0.5556295803	0.5531508593	0.5628140704	0.5588752197	0.5870853081	0.5858528237	0.5877903836	0.5871172122	0.578470825	0.5843037975	0.58639256	0.5669064748	0.5792941176	0.5490457168	0.5485689506	0.5294609277	0.5341563786	0.5469004894	 
Dominica	0.3160952934	0.3443264394	0.3399014778	0.3351558229	0.3360042735	0.293713682	0.289445629	0.3078867543	0.2864346949	0.2886546185	0.2918367347	0.2894604135	0.2955742887	0.2942088935	0.2827620968	0.2798232695	0.2701688555	0.27	0.3133235725	0.2995951417	0.2993318486	0.2946350044	0.2899328859	0.2891566265	0.2989064399	0.2891030393	0.2749116608	0.2613480055	0.2675630252	0.2674813306	0.2653699201	0.2673684211	0.2559208201	0.2754132958	0.272106521	0.2451388889	0.2298456261	0.2263955892	0.2553118574	0.2437582129	0.2512396694	0.2458795829	0.2449799197	0.2506729475	0.259399793	0.2569948187	0.2610135807	0.2606823451	0.2770853308	 
Dominican Republic	0.2467911319	0.2273957769	0.2448759439	0.2444803446	0.2522321429	0.2361256545	0.2588235294	0.2563570317	0.2472194135	0.2526799387	0.2521389029	0.2605668821	0.2653455776	0.2971563981	0.3111432706	0.309569378	0.3085106383	0.3197565543	0.3256244218	0.3185251	0.3241534989	0.3287858117	0.3376916141	0.3415492958	0.3552742616	0.3341772152	0.3134523291	0.3307865169	0.3092192325	0.3160445953	0.3207106124	0.3086997194	0.3088367899	0.3220640569	0.3210202287	0.3024861878	0.2962790698	0.2992974239	0.2819198509	0.3071718539	0.2820968458	0.28	0.2461249413	0.2725623583	0.2875647668	0.2892948173	0.2888237756	0.2946963216	0.2859545837	 
Ecuador	0.294884654	0.2888999009	0.3088521401	0.2652662433	0.2835616438	0.2777777778	0.3019132058	0.2827521206	0.2971962617	0.2986654395	0.2855787476	0.3002298851	0.270257388	0.2645527686	0.2752376641	0.2741721854	0.2543046358	0.2559681698	0.2669924478	0.2838409475	0.2836283186	0.2913936217	0.2790697674	0.3081032947	0.2782258065	0.3048938935	0.3139635733	0.3368915457	0.3419552828	0.3499777084	0.3422385997	0.3433682373	0.371778069	0.3681135225	0.3554976097	0.3665217391	0.3541755889	0.3687250111	0.3607266436	0.3736117281	0.3504652193	0.3172533681	0.3249225321	0.3107049608	0.3212147134	0.3262656859	0.3184357542	0.3098947368	0.3160337553	 
Egypt	0.6886517944	0.668374476	0.6719111522	0.6768738574	0.6726943942	0.6681435534	0.6926917839	0.6737967914	0.6696428571	0.6656291685	0.6675591254	0.6504385965	0.6617773943	0.6548523207	0.6465946844	0.639935846	0.6363278172	0.6438616496	0.6349782293	0.6371650212	0.6403891312	0.6351084813	0.6443418014	0.6427158866	0.6406557377	0.6382768826	0.6459268762	0.6484400129	0.6548930655	0.6665611146	0.6665609137	0.6667722521	0.6726471514	0.6799382716	0.6717279077	0.667673716	0.6695678271	0.666061706	0.6571256403	0.646811071	0.6456786457	0.6478914774	0.6448038335	0.6457632303	0.6397235577	0.6413011041	0.6306834849	0.6334684424	0.645142354	 
El Salvador	0.5708836618	0.5655686762	0.5612121212	0.5754775108	0.5521508544	0.5607751028	0.5583284968	0.5648201028	0.5693807339	0.5763490241	0.5877437326	0.5750279955	0.5762344004	0.5633280339	0.569245934	0.5415250121	0.5551330798	0.5402621723	0.5528344671	0.5530776093	0.5615114236	0.5625558534	0.5795148248	0.578713969	0.5824765311	0.5760220487	0.5703737886	0.5503144654	0.5602836879	0.5645580589	0.5639534884	0.5630705394	0.5633921075	0.5624211854	0.5719063545	0.5661948376	0.5509278351	0.5357730263	0.5045681063	0.4972397476	0.4925714286	0.4861585135	0.48996139	0.5017584994	0.475576397	0.4418061503	0.4487480438	0.4565302144	0.4578125	 
Estonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3279463934	0.3321732405	0.3217642806	0.3571185865	0.3554471545	0.3476678796	0.347826087	0.2720564645	0.2901960784	0.2790163934	0.2840722496	0.2745289149	0.2694063927	0.2784288882	0.2803532009	0.2805913809	0.3083850932	0.3120784795	 
Ethiopia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6688741722	0.6787330317	0.6732358551	0.6751207729	0.6838978015	0.688057041	0.6888760139	0.6876051598	0.6808743169	0.6742547425	0.6709129512	0.6544391281	0.6594129555	0.6598881546	0.6450459653	0.6450173525	0.6656920078	 
Ethiopia PDR	0.6851549755	0.6805479452	0.6808158765	0.6910704382	0.6760404949	0.6651216686	0.6626227614	0.6471652593	0.6570418385	0.6485528647	0.6530366807	0.6515634971	0.6638101516	0.6646785951	0.6671114076	0.6590909091	0.6291476903	0.6354300385	0.6316088687	0.618142314	0.6235763098	0.6347237881	0.6200897868	0.6344564526	0.6344430218	0.646878825	0.6628716003	0.6618093503	0.6594387755	0.6387096774	0.6371120963	0.6308681672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 
Fiji	0.3863724352	0.3852863102	0.3841059603	0.3833770124	0.4137191854	0.3869731801	0.3895234344	0.3792423047	0.3896053146	0.3109170306	0.4175738725	0.4445773525	0.4650205761	0.4275205539	0.4536480687	0.4168865435	0.4202350966	0.4078562474	0.4189243833	0.4053514377	0.3215419501	0.425394258	0.3890675241	0.3933202358	0.3735078937	0.4187250996	0.4243765084	0.391015625	0.4209094442	0.3961208504	0.4150110375	0.4353542732	0.4223079621	0.4395132427	0.414384812	0.4220802272	0.4273143259	0.4165781084	0.4191046881	0.4132347765	0.4169550173	0.421215242	0.4129387474	0.3926972098	0.3998639918	0.3912453342	0.3918548939	0.4034670292	0.3997933884	 
Finland	0.3306772908	0.3145033323	0.3172638436	0.2897377792	0.2884122919	0.275477707	0.2730831974	0.2688417618	0.2607052897	0.2624839949	0.2488038278	0.2438173748	0.2382592361	0.2430114358	0.2390625	0.2336835403	0.2331469911	0.2464579901	0.2482505831	0.2427970217	0.2477700694	0.2445302445	0.2402141184	0.2450882451	0.2498314228	0.2424957841	0.2420945257	0.2530664945	0.2517829457	0.2546899841	0.2510446802	0.25	0.2351778656	0.2372824632	0.2421643022	0.2483421751	0.2630241423	0.2591540404	0.2760037939	0.275477707	0.2766898294	0.2729007634	0.274665818	0.274559194	0.2790332706	0.2904732254	0.2817679558	0.2901618929	0.2804612029	 
France	0.2975594493	0.2901443046	0.2802350758	0.2708074534	0.2711811998	0.2601676498	0.2440439829	0.2461866992	0.2380517504	0.2315375303	0.2225600486	0.2250230556	0.2168858978	0.2215770171	0.2243451464	0.2273420812	0.2293853073	0.2214011233	0.2207100592	0.2282834272	0.2254385965	0.2355178467	0.2389226759	0.2371552975	0.2355810617	0.2375722543	0.2316624186	0.2366498033	0.2361540624	0.2346560091	0.2312905959	0.223287285	0.2345958168	0.2378917379	0.235210869	0.2382035247	0.2393572033	0.2409470752	0.2407664538	0.2426429761	0.2431318681	0.2431544359	0.2451882845	0.2512676056	0.2552348613	0.2624073018	0.2579433853	0.269035533	0.2572966846	 
French Polynesia	0.4194422928	0.3919874313	0.4104299363	0.3677042802	0.3769259677	0.3731182796	0.3497501784	0.3386053199	0.3524324324	0.3306620209	0.3483472575	0.3510904541	0.3459885387	0.3506401138	0.3462495556	0.3446447508	0.3515850144	0.3572200216	0.3545258621	0.3661446682	0.3561797753	0.3591549296	0.3614814815	0.3554658841	0.3528329654	0.3344322344	0.3432108027	0.3412727949	0.3432502789	0.356384925	0.3495723317	0.3379878267	0.3496227093	0.3330950679	0.3220640569	0.3320298614	0.3262513504	0.333938294	0.3291970803	0.3135193911	0.3067331671	0.3068181818	0.3095744681	0.3058286517	0.3137048721	0.3157338965	0.3048146865	0.3090909091	0.3033158813	 
Gabon	0.1274354924	0.1363636364	0.1295503212	0.1344086022	0.1328334226	0.1454928835	0.1425619835	0.137721519	0.1434511435	0.1476091476	0.1362480935	0.1256463289	0.1265560166	0.1782130913	0.1889041724	0.2042476277	0.2250987275	0.2139495079	0.1999115436	0.1871681416	0.1885790173	0.1954662104	0.2063359733	0.2060016221	0.2237218814	0.2375915378	0.2305140962	0.2333198544	0.2211812627	0.2335329341	0.268503937	0.2634126664	0.2648111332	0.2787755102	0.3112164297	0.3146453089	0.3108470678	0.2998109641	0.3102297999	0.3146982599	0.3218820015	0.3294028148	0.3313207547	0.3327067669	0.3433111604	0.3309885228	0.3275222552	0.3562005277	0.3460540941	 
Gambia	0.6453797775	0.6483886484	0.6646197449	0.6669802446	0.6140427388	0.6266306793	0.606485539	0.6024252923	0.6148531952	0.640590076	0.6338028169	0.6637764933	0.6519631604	0.6205837174	0.6347537355	0.5862255965	0.5681444992	0.6084432718	0.6236786469	0.6653040368	0.6094441712	0.6292189007	0.6026058632	0.5794306703	0.6377056094	0.6028951487	0.5635270541	0.5863192182	0.5724366957	0.5654761905	0.5728307813	0.5600961538	0.5362788812	0.5607398066	0.561788275	0.5696361355	0.5575757576	0.4927843803	0.5316253002	0.552662262	0.5492454329	0.5444579781	0.5376124285	0.522995523	0.536525974	0.5612416107	0.5792994884	0.6147767681	0.6250465896	 
Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5955347871	0.5552884615	0.6164034641	0.6368597817	0.6060606061	0.60400151	0.5876249039	0.6076775432	0.5743734842	0.546969697	0.5562213606	0.5528289025	0.5261589404	0.5141540487	0.5328441649	0.5088022092	0.5276094276	0.550802139	 
Germany	0.2507002801	0.2446808511	0.2373232149	0.2542770882	0.257057456	0.2528239203	0.2435854715	0.2343137255	0.235042735	0.2281381091	0.2254744291	0.2218332272	0.2209927284	0.2255469755	0.2206165703	0.2197802198	0.2211599745	0.2211627192	0.2177764203	0.2220183486	0.2218137255	0.2164515161	0.2224199288	0.2283859546	0.2273259216	0.22669803	0.2310650888	0.2294359577	0.2280340876	0.2185105731	0.2127595546	0.2068355922	0.2210427724	0.2278953923	0.2268390274	0.223771983	0.1964735516	0.2284758138	0.230558097	0.2273545291	0.2473246136	0.2571428571	0.2424778761	0.24391674	0.2488399072	0.2481941635	0.2477298524	0.2460837368	0.2477220957	 
Ghana	0.2015888779	0.1973140496	0.1672095548	0.1724692019	0.1584582441	0.2038345106	0.2106017192	0.1827586207	0.1736997056	0.2135514019	0.2165575304	0.2327837051	0.2208472156	0.2038335671	0.1838453915	0.2029520295	0.2276470588	0.2281437126	0.2535471931	0.2351453856	0.2027883397	0.2115902965	0.2328947368	0.1952326901	0.2299044407	0.2020753687	0.2304909561	0.2240293809	0.2088541667	0.2674013921	0.2539530426	0.2571022727	0.2763620387	0.2710320902	0.2473347548	0.2100379587	0.2028439983	0.205785124	0.214953271	0.2251497006	0.2320158103	0.2186532508	0.2397075798	0.2463601533	0.2530749161	0.2547376093	0.2410423453	0.2485145054	0.258526603	 
Greece	0.4700673043	0.4609571788	0.4543501611	0.447112039	0.4415895855	0.4148827727	0.4149432955	0.397431676	0.3957166392	0.3891719745	0.3667929293	0.3787152445	0.3552168816	0.3548387097	0.3543543544	0.3523206751	0.3521295741	0.3362353648	0.324729892	0.3115782868	0.3166666667	0.3219540906	0.3121353559	0.3146320835	0.3013972056	0.2904290429	0.3057803468	0.2937853107	0.2939878654	0.3007923033	0.2982158029	0.2908433064	0.2996604414	0.2847533632	0.2968571429	0.2959358901	0.2921316166	0.277904328	0.2769614638	0.2777312098	0.2814504881	0.2816551724	0.280242491	0.280237581	0.2748112944	0.2672438672	0.2576018359	0.2762198542	0.265625	 
Grenada	0.3612716763	0.3476821192	0.3426875337	0.3398963731	0.3452620968	0.341285297	0.3449443638	0.3317467872	0.3333333333	0.321875	0.2912488605	0.2820984814	0.293898463	0.3106134372	0.3193154034	0.3317445186	0.3270184935	0.3309828118	0.3277899344	0.3223801066	0.3013513514	0.2723112128	0.288434079	0.269175798	0.2718168813	0.2660722665	0.2161469458	0.255033557	0.2710472279	0.269540693	0.2634166325	0.2958093673	0.2887352582	0.270602706	0.2760504202	0.2563559322	0.2746835443	0.2592110967	0.2512315271	0.2556663645	0.2413339184	0.2222705524	0.2124621376	0.2023809524	0.2275627393	0.2230639731	0.2256581697	0.2432544624	0.2134877948	 
Guatemala	0.6578512397	0.6527627302	0.6430460074	0.6400409626	0.6287608363	0.6322482197	0.6288607595	0.625	0.638076351	0.6328240513	0.6266266266	0.623752495	0.6149369544	0.6158745713	0.6112158341	0.6047411708	0.5973409307	0.5937794533	0.6003761166	0.5885078777	0.6115771812	0.606557377	0.6076487252	0.5702233251	0.584622384	0.6023839932	0.6059176672	0.6166950596	0.5738738739	0.5715498938	0.5807841448	0.5743747258	0.5937101572	0.5855932203	0.5713658322	0.5785491767	0.5582706767	0.548072457	0.5328671329	0.5215178158	0.522993688	0.5059473237	0.4803921569	0.4828178694	0.4666666667	0.4679089027	0.452722063	0.4734177215	0.4587230582	 
Guinea	0.3996937213	0.3707518023	0.4179104478	0.4333657588	0.4225630876	0.4073522106	0.376926902	0.3795	0.3730964467	0.3805047006	0.3732291158	0.3854886476	0.3937703394	0.4006575857	0.4057169202	0.3986363636	0.4017777778	0.4169900819	0.4417536534	0.4479830149	0.475604756	0.4723404255	0.4762921828	0.4833127318	0.488372093	0.4973501834	0.5049220673	0.5445505171	0.5188301282	0.5092554504	0.4964890541	0.4859126174	0.4835390947	0.4995850622	0.4949409781	0.482347937	0.4825327511	0.4814323607	0.4762931034	0.4812315479	0.48676345	0.480475382	0.469874477	0.4547333609	0.4611590629	0.4819566961	0.4835473515	0.5	0.5015797788	 
Guinea Bissau	0.5173482032	0.5070063694	0.5081453634	0.5212831585	0.5192307692	0.5281437126	0.5317073171	0.4782608696	0.516327788	0.4973924381	0.5426118945	0.4720101781	0.5405232929	0.5401869159	0.5693865396	0.588	0.5384615385	0.5799180328	0.5795454545	0.5873330035	0.6439570695	0.6372960373	0.6450256889	0.6436943272	0.5961620469	0.5663401603	0.6009743136	0.603253502	0.5944343066	0.6008888889	0.6311934511	0.6053962901	0.6156182213	0.618905047	0.6195329087	0.6008888889	0.5821510297	0.5946071595	0.598516458	0.6016911437	0.6193433895	0.6085031001	0.6012461059	0.5761353517	0.5705467372	0.5677506775	0.5517241379	0.5612903226	0.5675557499	 
Guyana	0.4765625	0.4781100997	0.4855875831	0.4745470233	0.4640785364	0.4790656677	0.4795191451	0.4737785746	0.4670818505	0.460367219	0.453279425	0.4508489723	0.4618662122	0.5054667788	0.5135135135	0.4760551948	0.4874595469	0.493306288	0.4951741502	0.4969148499	0.4838323353	0.4997966653	0.4998021369	0.5204040404	0.5409902597	0.5215118617	0.4727634195	0.498563808	0.5128737542	0.5216836735	0.5372881356	0.5239284228	0.5179153094	0.4861441013	0.4755244755	0.4705654531	0.4492699364	0.4646199925	0.4586915888	0.4329178886	0.4393609296	0.4662756598	0.4661487236	0.4673385592	0.4564811356	0.4702111614	0.4752736882	0.4817829457	0.4747396838	 
Haiti	0.4588859416	0.4626631854	0.4623036649	0.443902439	0.4631853786	0.4592868547	0.4545454545	0.4426318651	0.4406504065	0.4311279826	0.4264785676	0.4288770053	0.4275171323	0.4238270954	0.4129746835	0.404453651	0.4037954665	0.3856548857	0.3935784568	0.4042887029	0.4086956522	0.3984415584	0.4067971164	0.404787234	0.41	0.4181818182	0.4333519241	0.4454702827	0.43321513	0.438646789	0.4343607306	0.4479953515	0.490951547	0.4735294118	0.4470989761	0.480620155	0.4627109418	0.4658320292	0.4336917563	0.4550561798	0.4528202425	0.4548812665	0.4819795589	0.457554725	0.4720893142	0.4586349535	0.4469582705	0.453326713	0.4484435798	 
Honduras	0.5526036132	0.5596974608	0.5539452496	0.5580645161	0.5621085595	0.5716455696	0.5644444444	0.5595296423	0.5563009104	0.566746988	0.5583456425	0.5573852295	0.5414825724	0.5358565737	0.5585542169	0.5435921868	0.5452369555	0.5369649805	0.5399314062	0.5428571429	0.5337423313	0.5347119645	0.5462345091	0.5458015267	0.5449438202	0.5334261838	0.5341273477	0.4988844266	0.4991251094	0.5106014712	0.5177709522	0.5	0.4875322442	0.4919286321	0.4842767296	0.4675810474	0.4374478732	0.4564315353	0.4644351464	0.4748414376	0.4789366053	0.4704453441	0.4755752927	0.4737055016	0.4597099114	0.4639461173	0.459765625	0.4543000386	0.4690402477	 
Hungary	0.4543554007	0.4226736566	0.4195645109	0.4233289646	0.4305106658	0.4106544901	0.4109370003	0.4008225245	0.385709867	0.3769230769	0.374732334	0.377340824	0.36475284	0.3506224066	0.3451641526	0.3476147068	0.3458371455	0.3405666064	0.3408743504	0.3259325044	0.3180212014	0.3154500147	0.3105463044	0.3135867963	0.3091759205	0.3045626271	0.2963888889	0.2963172805	0.2701543739	0.2689349112	0.2753668436	0.2474101158	0.2417015791	0.238677686	0.2240325866	0.2019132217	0.2315369261	0.204787234	0.2210736912	0.260265319	0.2510528021	0.2308444734	0.2607131174	0.2492172824	0.2809538367	0.2710622711	0.2516473172	0.2515683814	0.2768595041	 
Iceland	0.1962473085	0.2228915663	0.1918735892	0.2183614919	0.2189086294	0.1983766234	0.1983193277	0.2240137221	0.2237616903	0.2121513944	0.2138492872	0.2122795558	0.2138964578	0.2210132608	0.1890161725	0.2144037	0.1966403162	0.1919844861	0.1844416562	0.1844444444	0.1824572127	0.1863334388	0.1880937302	0.1986754967	0.1930329179	0.1996325781	0.2213114754	0.2236205227	0.2292464879	0.2190789474	0.2374193548	0.2351036269	0.2373819603	0.2208628461	0.2358642973	0.224801061	0.2166181701	0.2105943152	0.2078418872	0.2074145094	0.2138284251	0.1906553779	0.1911581569	0.1886676876	0.1974483597	0.1941891491	0.1993578517	0.2055882353	0.1989886972	 
India	0.632183908	0.6542787286	0.6459816887	0.6616390146	0.6311134235	0.6545831176	0.6852970796	0.665004985	0.6669950739	0.6658745247	0.642641129	0.6602628918	0.6683022571	0.6537065837	0.6678032148	0.6311945749	0.6585714286	0.6587190276	0.6455131383	0.660130719	0.6536585366	0.6459259259	0.661971831	0.6363224638	0.6313342631	0.6385150812	0.6569713758	0.6662257496	0.6596015261	0.6370269038	0.6458242239	0.6541774332	0.6517699115	0.6355672361	0.6300777874	0.6278372591	0.6139159949	0.6243589744	0.611952862	0.6189873418	0.6130696475	0.6063268893	0.5992954646	0.6081923419	0.6031886625	0.5930232558	0.5862358372	0.5856491083	0.5733887734	 
Indonesia	0.5650027427	0.5462506842	0.5633259912	0.5384615385	0.5548945376	0.591280654	0.5969581749	0.6002149382	0.6284960422	0.6362694301	0.6413652573	0.6568136273	0.6501443696	0.6341929322	0.6530514176	0.6613138686	0.6478136882	0.6602803738	0.6604460628	0.6636851521	0.6433203632	0.6571675302	0.6501261564	0.6438071488	0.6533057851	0.6466503268	0.6571657969	0.656877898	0.6559139785	0.6645271716	0.66058549	0.6589403974	0.6632401316	0.6541262136	0.6554292434	0.6666666667	0.6722689076	0.6765888978	0.6720713417	0.658045977	0.6504333471	0.647634584	0.6352226721	0.6360323887	0.629704573	0.637132501	0.6308058753	0.6366849961	0.6354206685	 
Iran	0.6036550543	0.5995423341	0.607580825	0.6006441224	0.5977623868	0.630617284	0.6273838631	0.632474701	0.6265884653	0.62226451	0.6192345437	0.6225287356	0.6383161512	0.6110648918	0.5808309338	0.5882592744	0.5884723902	0.5972166998	0.6017836371	0.5987189148	0.5903570114	0.5960755276	0.5979046243	0.5709583029	0.582717873	0.5848987109	0.6030150754	0.6381409074	0.6226348984	0.5841721624	0.59237836	0.5901422428	0.5976082741	0.5843393148	0.5719008264	0.5748934775	0.5776699029	0.5678243775	0.5733810609	0.5727032386	0.5693574959	0.5642476698	0.5520452278	0.5385117493	0.5237160615	0.5217391304	0.4996708361	0.5113524186	0.4947124917	 
Iraq	0.5694524496	0.5917381974	0.5900809717	0.5862919132	0.5825621042	0.5741370929	0.5745088644	0.5864374403	0.5888468809	0.5944937004	0.5958429561	0.5851674641	0.5969653864	0.5864312268	0.5868971793	0.5844564241	0.5748476936	0.5792038993	0.5948975647	0.6079311635	0.5918079096	0.5964201283	0.6020341207	0.5934477379	0.5948223961	0.5961426067	0.6048129893	0.6087209302	0.6051177668	0.6344019729	0.7072340426	0.6532976827	0.6033717835	0.5663517769	0.545	0.5368324125	0.5495026054	0.5739171375	0.5924895688	0.6053235429	0.5946784922	0.6110132159	0.6285460993	0.5897002955	0.5905411163	0.6202691337	0.6394813885	0.6179775281	0.6303005352	 
Ireland	0.3171819263	0.3093824228	0.3016809201	0.2916053019	0.2889085025	0.281203895	0.2723815097	0.2738722906	0.2676015191	0.2590975255	0.2609945387	0.2622855481	0.2601205857	0.260005677	0.259590424	0.2630656934	0.2656027358	0.2433110368	0.2590191657	0.2440526168	0.2505649718	0.2669808705	0.2845459673	0.2725218865	0.2684563758	0.2705394191	0.2689520624	0.2702175125	0.2753623188	0.2736551724	0.2733370598	0.2765663815	0.2782337956	0.273540095	0.2740466705	0.2734072022	0.2627440347	0.262629006	0.2580906149	0.254087376	0.256575416	0.2579387187	0.2611961057	0.2640716886	0.2645425314	0.2802151146	0.2689576825	0.2758813654	0.2957865169	 
Israel	0.42510699	0.4126815445	0.4005816067	0.3928067701	0.3824261829	0.3747426218	0.3778295606	0.3698186529	0.3655502392	0.3668903803	0.3678756477	0.3605546995	0.3467230444	0.3557005281	0.3587092732	0.3655813953	0.3627603357	0.3665922856	0.3722791293	0.3861290323	0.3802861685	0.3654313487	0.3682123246	0.3504901961	0.3625414032	0.3733253945	0.3836770259	0.3457304374	0.3711124402	0.3620588235	0.337711617	0.3501449275	0.353841625	0.355714712	0.337666089	0.3198172473	0.3190761334	0.318	0.3151393278	0.3060247748	0.3084397557	0.3100838064	0.3177622378	0.3273480663	0.3255365988	0.3343448276	0.3267045455	0.3255813953	0.3226173542	 
Italy	0.4471544715	0.43387471	0.416720674	0.418022121	0.4152271273	0.4093938432	0.4021065675	0.3996350365	0.3920744521	0.3849493488	0.3848167539	0.3775480907	0.3830803822	0.3696027634	0.3834564254	0.3727111636	0.3810526316	0.3716814159	0.3731301939	0.3631315936	0.3562072893	0.3345122311	0.3257958941	0.3395949516	0.3294255569	0.3299942759	0.3217539863	0.3250283126	0.323463057	0.3179029559	0.3198680956	0.315819209	0.3155619597	0.3108302212	0.324	0.3207759348	0.3227883539	0.3154453827	0.316074817	0.317053206	0.319433088	0.3191140279	0.3209058271	0.3169519602	0.3176602295	0.3124306326	0.3147889293	0.3162321278	0.3179659123	 
Jamaica	0.3849372385	0.3819444444	0.374260355	0.378578024	0.3827729157	0.3686845699	0.3686021505	0.3610278373	0.3488670372	0.3810865191	0.3596559812	0.3460377358	0.3708530806	0.3653404744	0.3612585292	0.3550670641	0.3371212121	0.3201624815	0.3329461866	0.3384847343	0.3492063492	0.3622266402	0.3556435644	0.3528055342	0.359399684	0.3502340094	0.3270920902	0.3303113914	0.3421862972	0.3323216995	0.3148076176	0.3239221671	0.3076638282	0.3198231393	0.3473880597	0.2781261527	0.3064635958	0.3160813309	0.3154411765	0.3131646498	0.3057050592	0.3165829146	0.3063769149	0.3162055336	0.3232541397	0.3326157158	0.325062927	0.341356674	0.3482532751	 
Japan	0.6002377179	0.5901128844	0.581003447	0.5732725892	0.5579710145	0.541051835	0.5280564846	0.5107407407	0.4992587102	0.4817518248	0.4787545788	0.4690647482	0.4747474747	0.4695810565	0.4725800515	0.4643895349	0.4506128335	0.4379928315	0.4285714286	0.4315827081	0.4359534207	0.4216139353	0.4179051663	0.4142200212	0.4132867133	0.4050104384	0.397373877	0.3919102651	0.3974402156	0.394165536	0.3972042278	0.3932698844	0.3937735204	0.3888130969	0.3914383562	0.3885135135	0.3878106912	0.387966805	0.388121547	0.3866068347	0.3836565097	0.3863157895	0.3845070423	0.382311487	0.3853243531	0.3846431146	0.3867756843	0.3786656892	0.3859977537	 
